"","Estado","Crimen violento","Asesinato","Violacion","Robo armado","Asalto","Crimen de propiedad","Robo de casas","Robo desarmado","Robo automovil"
"1","Alabama",510.8,7.3,42.2,80.4,381,2674.4,531.9,1886.1,256.5
"2","Alaska",867.1,9.4,148.7,112.9,596,2910.8,487.1,2066,357.7
"3","Arizona",455.3,5,50.3,88.1,311.9,2440.5,394.3,1796.9,249.4
"4","Arkansas",584.6,8,77.2,51.6,447.8,2858,599.6,2012.6,245.9
"5","California",441.2,4.3,37.5,132.4,267.1,2331.2,386.1,1586.3,358.8
"6","Colorado",381,3.8,67.2,63.6,246.3,2590.7,348.4,1858.3,384
"7","Connecticut",183.6,2.9,21.6,54.1,105,1426.6,180.7,1078.7,167.3
"8","Delaware",422.6,4.9,31.8,81.1,304.7,2252.2,304.8,1782.7,164.7
"9","District Of Columbia",1049,23.5,48.9,384.4,592.1,4367.1,261.1,3775.4,330.6
"10","Florida",378.4,5.2,39.4,75.5,258.3,2145.7,295.2,1668.7,181.8
"11","Georgia",340.7,6.2,27.5,75,232,2375.8,372.1,1779.8,223.9
"12","Hawaii",285.5,3.4,54,79.9,148.2,2841.2,377.2,2093,371.1
"13","Idaho",223.8,2,45.3,8.7,167.9,1219.5,219.7,911.8,87.9
"14","Illinois",406.9,6.6,48,98.4,254,1846.5,271.7,1426.6,148.2
"15","Indiana",370.8,5.6,36.8,79.2,249.3,1971,323.7,1443.4,203.8
"16","Iowa",266.6,1.9,36.9,27.4,200.4,1733.7,371.1,1199.6,163
"17","Kansas",410.8,3.6,48.6,44.4,314.2,2314.5,342.7,1721.9,249.9
"18","Kentucky",217.1,4.9,35.2,48.4,128.6,1897.4,345.7,1323.5,228.2
"19","Louisiana",549.3,11.7,48.9,86.6,402.1,3162,579,2352.4,230.5
"20","Maine",115.2,1.5,38.4,14,61.3,1245.6,174.8,1016.7,54
"21","Maryland",454.1,9,31.6,152.2,261.3,1950.2,278.9,1485,186.2
"22","Massachusetts",327.6,2.2,32,52.4,241,1179.8,179,911.8,89
"23","Michigan",437.4,5.6,72.4,53.6,305.9,1585,286.1,1121.3,177.7
"24","Minnesota",236.4,2.1,43.4,55.8,135.1,2078.8,282.4,1597.5,198.9
"25","Mississippi",277.9,11.2,25.1,57.1,184.6,2375.8,627,1555.7,193.1
"26","Missouri",495,9.3,47.5,80.8,357.4,2638.7,430.4,1865,343.3
"27","Montana",404.9,2.5,58.4,19.2,324.9,2193.2,270.1,1700.6,222.4
"28","Nebraska",300.9,2.3,64.8,40.9,192.9,2039.3,245.3,1536.3,257.7
"29","Nevada",493.8,4.6,70.2,106.7,312.3,2322.1,503.5,1453,365.6
"30","New Hampshire",152.5,2.4,43.4,23,83.7,1209.2,126.3,1017.3,65.7
"31","New Jersey",206.9,2.9,17.2,64.5,122.2,1335.7,184.6,1034.7,116.4
"32","New Mexico",832.2,8.6,61.4,111.6,650.5,3112.7,696.8,1988.8,427.2
"33","New York",358.6,2.9,33.8,92.9,229,1373.3,141.9,1166.1,65.3
"34","North Carolina",371.8,6,31,72.5,262.4,2357.3,519.1,1666,172.2
"35","North Dakota",284.6,3.1,57.3,23.5,200.6,1977,342.2,1399.6,235.2
"36","Ohio",293.2,4.6,49,75.7,163.9,2055.7,375.5,1520.4,159.7
"37","Oklahoma",431.8,6.7,57.3,59.9,307.9,2845.3,671.7,1835.5,338.1
"38","Oregon",284.4,2.8,42.2,54,185.5,2730.6,349.1,2021.5,360
"39","Pennsylvania",306.4,5.2,34,76.1,191.1,1403.4,182.4,1124.2,96.8
"40","Puerto Rico",202.9,19,6.7,66.4,110.7,702.7,134.4,453.5,114.8
"41","Rhode Island",221.1,2.4,46.3,39.5,132.9,1534.8,219.1,1187.5,128.2
"42","South Carolina",511.3,9,47.8,64,390.5,2940.3,533.4,2116.1,290.8
"43","South Dakota",399,1.9,72.6,22,302.5,1771,299.1,1273.4,198.5
"44","Tennessee",595.2,7.3,41.2,90.1,456.7,2652.6,437.4,1934.4,280.9
"45","Texas",418.9,4.9,51.1,100,263,2390.7,392.8,1730.6,267.2
"46","Utah",235.6,2.2,56.8,35.1,141.4,2169.3,276.7,1682.4,210.2
"47","Vermont",202.2,1.8,44.6,11.4,144.6,1424.4,204.3,1172.3,47.8
"48","Virginia",208,5,33,41.3,128.7,1642.7,162.8,1359.5,120.3
"49","Washington",293.9,2.6,43.8,67.6,179.9,2681.9,453.6,1907.9,320.5
"50","West Virginia",316.6,4.4,42.1,21.1,249.1,1583.4,328.7,1119.7,135
"51","Wisconsin",293.2,3,38.8,51.4,200,1471.4,217.6,1127,126.8
"52","Wyoming",217.4,2.2,56,11.6,147.6,1571.1,241.2,1206.7,123.2
